Date,WBI Power Factor High Dividend_Open_average,WBI Power Factor High Dividend_Open_max,WBI Power Factor High Dividend_Open_min,WBI Power Factor High Dividend_Open_volatility,WBI Power Factor High Dividend_Open_change,WBI Power Factor High Dividend_High_average,WBI Power Factor High Dividend_High_max,WBI Power Factor High Dividend_High_min,WBI Power Factor High Dividend_High_volatility,WBI Power Factor High Dividend_High_change,WBI Power Factor High Dividend_Low_average,WBI Power Factor High Dividend_Low_max,WBI Power Factor High Dividend_Low_min,WBI Power Factor High Dividend_Low_volatility,WBI Power Factor High Dividend_Low_change,WBI Power Factor High Dividend_Close_average,WBI Power Factor High Dividend_Close_max,WBI Power Factor High Dividend_Close_min,WBI Power Factor High Dividend_Close_volatility,WBI Power Factor High Dividend_Close_change
2019-09-08,25.06,25.06,25.06,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2019-09-15,24.22,24.22,24.22,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2019-09-22,24.3,24.3,24.3,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2019-09-29,23.71,23.71,23.71,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2019-10-06,24.42,24.42,24.42,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2019-10-13,24.36,24.36,24.36,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2019-10-20,25.05,25.05,25.05,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2019-10-27,25.19,25.19,25.19,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2019-11-03,26.02,26.02,26.02,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.87,25.87,25.87,0.0,0.0,26.15,26.15,26.15,0.0,0.0
2019-11-10,26.0,26.0,26.0,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2019-11-17,25.49,25.49,25.49,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2019-11-24,25.75,25.75,25.75,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2019-12-01,25.69,25.69,25.69,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2019-12-08,26.39,26.39,26.39,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.15,26.15,26.15,0.0,0.0
2019-12-15,26.74,26.74,26.74,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.72,26.72,26.72,0.0,0.0
2019-12-22,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2019-12-29,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.22,26.22,26.22,0.0,0.0
